language,year,threshold_used,total_count
Python,2016,7049,89
JavaScript,2016,7049,114
TypeScript,2016,7049,96
Go,2016,7049,67
Rust,2016,7049,21
Java,2016,7049,46
C++,2016,7049,40
C#,2016,7049,19
Ruby,2016,7049,5
PHP,2016,7049,13
Python,2017,6199,124
JavaScript,2017,6199,86
TypeScript,2017,6199,94
Go,2017,6199,64
Rust,2017,6199,20
Java,2017,6199,47
C++,2017,6199,50
C#,2017,6199,21
Ruby,2017,6199,1
PHP,2017,6199,8
Python,2018,5976,124
JavaScript,2018,5976,80
TypeScript,2018,5976,91
Go,2018,5976,83
Rust,2018,5976,46
Java,2018,5976,44
C++,2018,5976,37
C#,2018,5976,23
Ruby,2018,5976,0
PHP,2018,5976,8
Python,2019,5459,134
JavaScript,2019,5459,64
TypeScript,2019,5459,98
Go,2019,5459,76
Rust,2019,5459,44
Java,2019,5459,28
C++,2019,5459,36
C#,2019,5459,17
Ruby,2019,5459,2
PHP,2019,5459,4
Python,2020,5255,132
JavaScript,2020,5255,65
TypeScript,2020,5255,108
Go,2020,5255,75
Rust,2020,5255,40
Java,2020,5255,26
C++,2020,5255,32
C#,2020,5255,19
Ruby,2020,5255,1
PHP,2020,5255,4
