language,year,threshold,total_count
Python,2016,50,7588
Python,2017,50,10777
Python,2018,50,12831
Python,2019,50,13900
Python,2020,50,15066
Python,2021,50,13111
Python,2022,50,11955
Python,2023,50,15436
Python,2024,50,14249
Python,2025,50,14218
Python,2016,100,4612
Python,2017,100,6542
Python,2018,100,7535
Python,2019,100,8078
Python,2020,100,8409
Python,2021,100,7006
Python,2022,100,6476
Python,2023,100,8906
Python,2024,100,7910
Python,2025,100,7868
Python,2016,500,1236
Python,2017,500,1685
Python,2018,500,1823
Python,2019,500,1879
Python,2020,500,1854
Python,2021,500,1441
Python,2022,500,1301
Python,2023,500,2157
Python,2024,500,1781
Python,2025,500,1854
JavaScript,2016,50,9857
JavaScript,2017,50,10406
JavaScript,2018,50,8750
JavaScript,2019,50,7256
JavaScript,2020,50,6706
JavaScript,2021,50,4826
JavaScript,2022,50,3717
JavaScript,2023,50,3419
JavaScript,2024,50,2610
JavaScript,2025,50,2894
JavaScript,2016,100,6012
JavaScript,2017,100,6020
JavaScript,2018,100,4910
JavaScript,2019,100,4082
JavaScript,2020,100,3689
JavaScript,2021,100,2610
JavaScript,2022,100,1899
JavaScript,2023,100,1770
JavaScript,2024,100,1332
JavaScript,2025,100,1554
JavaScript,2016,500,1680
JavaScript,2017,500,1513
JavaScript,2018,500,1080
JavaScript,2019,500,850
JavaScript,2020,500,745
JavaScript,2021,500,486
JavaScript,2022,500,415
JavaScript,2023,500,385
JavaScript,2024,500,274
JavaScript,2025,500,322
TypeScript,2016,50,2175
TypeScript,2017,50,3088
TypeScript,2018,50,3624
TypeScript,2019,50,4332
TypeScript,2020,50,5580
TypeScript,2021,50,5455
TypeScript,2022,50,5546
TypeScript,2023,50,6149
TypeScript,2024,50,5281
TypeScript,2025,50,6616
TypeScript,2016,100,1547
TypeScript,2017,100,2076
TypeScript,2018,100,2351
TypeScript,2019,100,2740
TypeScript,2020,100,3463
TypeScript,2021,100,3206
TypeScript,2022,100,3244
TypeScript,2023,100,3600
TypeScript,2024,100,3148
TypeScript,2025,100,3875
TypeScript,2016,500,609
TypeScript,2017,500,751
TypeScript,2018,500,740
TypeScript,2019,500,844
TypeScript,2020,500,977
TypeScript,2021,500,818
TypeScript,2022,500,852
TypeScript,2023,500,1003
TypeScript,2024,500,889
TypeScript,2025,500,1095
Go,2016,50,2556
Go,2017,50,2906
Go,2018,50,3289
Go,2019,50,3199
Go,2020,50,3322
Go,2021,50,2790
Go,2022,50,2463
Go,2023,50,2140
Go,2024,50,1648
Go,2025,50,1840
Go,2016,100,1699
Go,2017,100,1939
Go,2018,100,2106
Go,2019,100,2063
Go,2020,100,2102
Go,2021,100,1697
Go,2022,100,1543
Go,2023,100,1263
Go,2024,100,985
Go,2025,100,1087
Go,2016,500,621
Go,2017,500,697
Go,2018,500,721
Go,2019,500,630
Go,2020,500,643
Go,2021,500,490
Go,2022,500,418
Go,2023,500,337
Go,2024,500,261
Go,2025,500,267
Rust,2016,50,782
Rust,2017,50,1002
Rust,2018,50,1338
Rust,2019,50,1641
Rust,2020,50,2230
Rust,2021,50,2119
Rust,2022,50,2471
Rust,2023,50,2383
Rust,2024,50,2049
Rust,2025,50,2010
Rust,2016,100,524
Rust,2017,100,642
Rust,2018,100,850
Rust,2019,100,1094
Rust,2020,100,1379
Rust,2021,100,1317
Rust,2022,100,1515
Rust,2023,100,1429
Rust,2024,100,1188
Rust,2025,100,1124
Rust,2016,500,211
Rust,2017,500,214
Rust,2018,500,315
Rust,2019,500,361
Rust,2020,500,444
Rust,2021,500,381
Rust,2022,500,403
Rust,2023,500,366
Rust,2024,500,261
Rust,2025,500,269
Java,2016,50,6030
Java,2017,50,5410
Java,2018,50,4258
Java,2019,50,3458
Java,2020,50,2782
Java,2021,50,2026
Java,2022,50,1606
Java,2023,50,1339
Java,2024,50,952
Java,2025,50,704
Java,2016,100,3721
Java,2017,100,3240
Java,2018,100,2481
Java,2019,100,1977
Java,2020,100,1590
Java,2021,100,1082
Java,2022,100,869
Java,2023,100,731
Java,2024,100,529
Java,2025,100,392
Java,2016,500,1138
Java,2017,500,868
Java,2018,500,562
Java,2019,500,455
Java,2020,500,352
Java,2021,500,226
Java,2022,500,172
Java,2023,500,169
Java,2024,500,106
Java,2025,500,82
C++,2016,50,3394
C++,2017,50,3806
C++,2018,50,3897
C++,2019,50,3853
C++,2020,50,4022
C++,2021,50,3296
C++,2022,50,2869
C++,2023,50,2667
C++,2024,50,2059
C++,2025,50,1578
C++,2016,100,2069
C++,2017,100,2262
C++,2018,100,2260
C++,2019,100,2243
C++,2020,100,2308
C++,2021,100,1819
C++,2022,100,1606
C++,2023,100,1462
C++,2024,100,1117
C++,2025,100,837
C++,2016,500,600
C++,2017,500,606
C++,2018,500,586
C++,2019,500,564
C++,2020,500,550
C++,2021,500,382
C++,2022,500,323
C++,2023,500,290
C++,2024,500,199
C++,2025,500,133
C#,2016,50,2218
C#,2017,50,2657
C#,2018,50,2718
C#,2019,50,2685
C#,2020,50,2731
C#,2021,50,2181
C#,2022,50,1825
C#,2023,50,1610
C#,2024,50,1186
C#,2025,50,810
C#,2016,100,1343
C#,2017,100,1561
C#,2018,100,1571
C#,2019,100,1527
C#,2020,100,1527
C#,2021,100,1225
C#,2022,100,1021
C#,2023,100,896
C#,2024,100,585
C#,2025,100,380
C#,2016,500,388
C#,2017,500,399
C#,2018,500,377
C#,2019,500,366
C#,2020,500,340
C#,2021,500,262
C#,2022,500,203
C#,2023,500,156
C#,2024,500,91
C#,2025,500,81
Ruby,2016,50,749
Ruby,2017,50,574
Ruby,2018,50,462
Ruby,2019,50,425
Ruby,2020,50,347
Ruby,2021,50,231
Ruby,2022,50,213
Ruby,2023,50,183
Ruby,2024,50,157
Ruby,2025,50,144
Ruby,2016,100,422
Ruby,2017,100,332
Ruby,2018,100,249
Ruby,2019,100,239
Ruby,2020,100,202
Ruby,2021,100,139
Ruby,2022,100,101
Ruby,2023,100,100
Ruby,2024,100,82
Ruby,2025,100,78
Ruby,2016,500,98
Ruby,2017,500,87
Ruby,2018,500,55
Ruby,2019,500,65
Ruby,2020,500,45
Ruby,2021,500,36
Ruby,2022,500,13
Ruby,2023,500,21
Ruby,2024,500,11
Ruby,2025,500,18
PHP,2016,50,2018
PHP,2017,50,1925
PHP,2018,50,1671
PHP,2019,50,1463
PHP,2020,50,1325
PHP,2021,50,879
PHP,2022,50,727
PHP,2023,50,632
PHP,2024,50,480
PHP,2025,50,386
PHP,2016,100,1146
PHP,2017,100,1049
PHP,2018,100,921
PHP,2019,100,809
PHP,2020,100,714
PHP,2021,100,462
PHP,2022,100,398
PHP,2023,100,332
PHP,2024,100,242
PHP,2025,100,193
PHP,2016,500,292
PHP,2017,500,245
PHP,2018,500,201
PHP,2019,500,176
PHP,2020,500,142
PHP,2021,500,99
PHP,2022,500,73
PHP,2023,500,64
PHP,2024,500,34
PHP,2025,500,34
